category_code,description,database
Forensic Medicine,"Applies medical knowledge to legal problems, often involving the determination of the cause of death.",medrxiv
Gastroenterology,Deals with the study and treatment of diseases affecting the digestive system.,medrxiv
Genetic and Genomic Medicine,"Involves the use of genetic information to diagnose, treat, and prevent diseases.",medrxiv
Geriatric Medicine,"Focuses on healthcare for the elderly, addressing their unique health needs and challenges.",medrxiv
Health Economics,Examines how scarce resources are allocated to healthcare and how healthcare systems function.,medrxiv
Health Informatics,Involves the use of information technology to improve healthcare delivery and outcomes.,medrxiv
Health Policy,Develops and implements strategies to improve healthcare systems and public health.,medrxiv
Health Systems and Quality Improvement,"Aims to enhance the quality, safety, and efficiency of healthcare services.",medrxiv
Hematology,"Studies blood, blood-forming organs, and blood diseases.",medrxiv
HIV/AIDS,"Focuses on the prevention, diagnosis, and treatment of HIV and AIDS.",medrxiv
Infectious Diseases (except HIV/AIDS),"Deals with the diagnosis and treatment of infections caused by bacteria, viruses, fungi, and parasites.",medrxiv
Intensive Care and Critical Care Medicine,Provides specialized care for critically ill patients in intensive care units.,medrxiv
Medical Education,Involves the training and education of healthcare professionals.,medrxiv
Medical Ethics,Examines the moral principles and values that guide medical practice.,medrxiv
Nephrology,Specializes in the diagnosis and treatment of kidney diseases.,medrxiv
Neurology,Deals with the diagnosis and treatment of disorders affecting the nervous system.,medrxiv
Nursing,"Focuses on the care and support of patients, families, and communities to achieve optimal health.",medrxiv
Nutrition,Studies the role of diet and nutrients in health and disease.,medrxiv
Obstetrics and Gynecology,"Covers women's reproductive health, pregnancy, and childbirth.",medrxiv
Occupational and Environmental Health,Addresses health and safety issues in the workplace and environment.,medrxiv
Oncology,Focuses on the diagnosis and treatment of cancer.,medrxiv
Ophthalmology,Deals with the diagnosis and treatment of eye and vision disorders.,medrxiv
Orthopedics,Specializes in the diagnosis and treatment of musculoskeletal disorders.,medrxiv
Otolaryngology,"Focuses on the diagnosis and treatment of ear, nose, and throat conditions.",medrxiv
Pain Medicine,"Deals with the prevention, evaluation, treatment, and rehabilitation of painful conditions.",medrxiv
Palliative Medicine,Aims to improve the quality of life for patients with serious or life-threatening illnesses.,medrxiv
Pathology,"Studies the causes, mechanisms, and extent of disease.",medrxiv
Pediatrics,"Focuses on the health and medical care of infants, children, and adolescents.",medrxiv
Pharmacology and Therapeutics,Studies the effects of drugs on the body and their use in treating diseases.,medrxiv
Primary Care Research,Investigates healthcare delivery and outcomes in primary care settings.,medrxiv
Psychiatry and Clinical Psychology,"Deals with the diagnosis and treatment of mental, emotional, and behavioral disorders.",medrxiv
Public and Global Health,"Focuses on preventing disease, promoting health, and prolonging life through organized efforts of society.",medrxiv
Radiology and Imaging,Uses medical imaging techniques to diagnose and treat diseases.,medrxiv
Rehabilitation Medicine and Physical Therapy,Aims to restore functional ability and quality of life to those with physical impairments.,medrxiv
Respiratory Medicine,Deals with the diagnosis and treatment of lung and breathing disorders.,medrxiv
Rheumatology,Specializes in the diagnosis and treatment of rheumatic diseases affecting joints and connective tissue.,medrxiv
Sexual and Reproductive Health,Covers issues related to sexual health and reproduction.,medrxiv
Sports Medicine,Focuses on the prevention and treatment of injuries related to sports and exercise.,medrxiv
Surgery,Involves the use of operative and manual procedures to treat diseases and injuries.,medrxiv
Toxicology,Studies the adverse effects of chemicals on living systems.,medrxiv
Transplantation,Involves the transfer of organs or tissues from one body to another.,medrxiv
Urology,Deals with the diagnosis and treatment of diseases affecting the urinary tract and male reproductive organs.,medrxiv
Animal Behavior and Cognition,"Studies of animal actions, interactions, and cognitive processes.",biorxiv
Biochemistry,Deals with the chemical processes and substances which occur within living organisms.,biorxiv
Bioengineering,Applies engineering principles to biological systems for the creation of new technologies and devices.,biorxiv
Bioinformatics,An interdisciplinary field that develops methods and software tools for understanding biological data.,biorxiv
Biophysics,Applies the principles of physics to biological systems.,biorxiv
Cancer Biology,"The study of the causes, development, progression, and treatment of cancer.",biorxiv
Cell Biology,"Studies the structure, function, and behavior of cells.",biorxiv
Clinical Trials,"Research studies that evaluate the effects of medical, surgical, or behavioral interventions.",biorxiv
Developmental Biology,Studies the processes by which organisms grow and develop.,biorxiv
Ecology,The study of the interactions between organisms and their environment.,biorxiv
Epidemiology,"Studies the patterns, causes, and effects of health and disease conditions in defined populations.",biorxiv
Evolutionary Biology,The study of the evolutionary processes that have produced the diversity of life on Earth.,biorxiv
Genetics,"The study of genes, heredity, and variation in living organisms.",biorxiv
Genomics,"Deals with the structure, function, evolution, and mapping of genomes.",biorxiv
Immunology,Studies the immune system and its response to pathogens and other foreign substances.,biorxiv
Microbiology,"The study of microorganisms, including bacteria, viruses, fungi, and protozoa.",biorxiv
Molecular Biology,"Studies the structure and function of biological macromolecules, such as proteins and nucleic acids.",biorxiv
Neuroscience,The study of the nervous system.,biorxiv
Paleontology,"The study of prehistoric life, including fossils.",biorxiv
Pathology,The study of the causes and effects of disease.,biorxiv
Pharmacology and Toxicology,Studies the effects of drugs and toxins on living organisms.,biorxiv
Physiology,Studies the normal functions of living organisms and their parts.,biorxiv
Plant Biology,"The study of plants, including their physiology, genetics, and ecology.",biorxiv
Scientific Communication and Education,Covers the methods and practices of communicating scientific information and educating the public.,biorxiv
Synthetic Biology,"Designs and constructs new biological parts, devices, and systems.",biorxiv
Systems Biology,Studies biological systems as integrated and interacting networks.,biorxiv
Zoology,"The study of animals, including their behavior, physiology, and evolution.",biorxiv
